,title,summaries,airdates,rankings,total_votes,links
132,Lisa the Vegetarian,"A trip to a local petting zoo convinces Lisa to give up meat, despite excessive pressure to convince her not to do so.",15 Oct. 1995,8.5,3339,https://www.imdb.com/title/tt0701158/
133,Treehouse of Horror VI,A lightning storm causes giant advertising mascots to come to life; The children are terrorized by Groundskeeper Willie in their dreams; Homer finds himself trapped in another dimension.,6 Jul. 1996,8.6,3163,https://www.imdb.com/title/tt0177842/
134,King Size Homer,"Homer intentionally gains more weight in order to qualify for disability and work from home, but soon realizes that being morbidly obese comes with its own problems.",5 Nov. 1995,9.0,4038,https://www.imdb.com/title/tt0701144/
135,Mother Simpson,"After faking his own death, Homer is reunited with his mother, who harbors a deep secret.",19 Nov. 1995,8.7,2998,https://www.imdb.com/title/tt0701182/
136,Sideshow Bob's Last Gleaming,"Sideshow Bob again escapes from prison and takes control of a TV screen at an air show, demanding all television stations immediately go off the air.",26 Nov. 1995,8.0,2470,https://www.imdb.com/title/tt0701208/
137,The Simpsons 138th Episode Spectacular!,Troy McClure hosts a retrospective of the first 137 episodes of Les Simpson (1989).,3 Dec. 1995,7.4,2431,https://www.imdb.com/title/tt0701261/
138,Marge Be Not Proud,Marge's relationship with Bart is strained when he is caught shoplifting before Christmas.,17 Dec. 1995,8.5,3223,https://www.imdb.com/title/tt0701168/
139,Team Homer,"Homer starts a bowling team with Moe, Apu and Otto, but Mr. Burns insists on joining after learning that the team was funded with his money; Springfield Elementary introduces uniforms.",7 Jan. 1996,8.3,2536,https://www.imdb.com/title/tt0779675/
140,Two Bad Neighbors,"Former President George Bush and his wife, Barbara, move into the Simpsons' neighborhood and soon clash with Bart and Homer.",14 Jan. 1996,8.5,3269,https://www.imdb.com/title/tt0779680/
141,Scenes from the Class Struggle in Springfield,"After buying a Chanel suit at a bargain price, Marge finds herself invited to a country club by a former schoolmate. Taken in by the opulence of the place, she is soon overcome by a desperation to fit in.",4 Feb. 1996,7.7,2314,https://www.imdb.com/title/tt0779674/
142,Bart the Fink,"Krusty the Clown is left almost broke after Bart inadvertently rats him out to the IRS, forcing Krusty to take drastic action.",11 Feb. 1996,7.7,2280,https://www.imdb.com/title/tt0701058/
143,Lisa the Iconoclast,Lisa may figure out what to do when she discovers that Springfield's founding father was actually a murderous thief while researching for an essay.,18 Feb. 1996,8.1,2501,https://www.imdb.com/title/tt0701155/
