,characters,categ
1924,Nigel (manager),Adults
1925,Nigel (Moho House),Adults
1926,Nigel's wife,Adults
1927,Leonard Nimoy (character),Adults
1928,Richard Nixon,Adults
1929,Noah's Mother,Adults
1930,Nookie Kwan,Adults
1931,Nora Charles,Adults
1932,Northern Irish Leprechaun,Adults
1933,Ms. Norton,Adults
1934,Nuclear Employee 1 (Who Shot Mr. Burns?),Adults
1935,Nuclear Employee 2 (Who Shot Mr. Burns?),Adults
1936,Nuclear Employee 3 (Who Shot Mr. Burns?),Adults
1937,Nuclear Inspector,Adults
1938,Nuclear Physics Professor,Adults
1939,Nuclear Power Man,Adults
1940,Number 12,Adults
1941,Number 2,Adults
1942,Number 21,Adults
1943,Number 27,Adults
1944,Number 6,Adults
1945,Number One,Adults
1946,Nureen,Adults
1947,Nutrition Center Clerk,Adults
1948,Chloe O'Brian,Adults
1949,Jane O'Brien,Adults
1950,Tom O'Flanagan,Adults
1951,Sam O'Neal,Adults
1952,Oak Ridge Employee,Adults
1953,Bill Oakley,Adults
1954,Barack Obama,Adults
1955,Michelle Obama,Adults
1956,Obergruppenfuhrer Wolfcastle,Adults
1957,Officer Goodman,Adults
1958,Officer Joe,Adults
1959,Officer with Badge in his Mouth,Adults
1960,Oil Driller,Adults
1961,Prince Olaf of Norway,Adults
1962,Dr. Olberman,Adults
1963,Old Clerk Guy,Adults
1964,Old Dad,Adults
1965,Old Irish Man,Adults
1966,Old Jewish Man,Adults
1967,Old Jewish man's son,Adults
1968,Old woman,Adults
1969,Old Woman (The Principal and the Pauper),Adults
1970,Old Woman 1,Adults
1971,Old Woman 2,Adults
1972,Old-Time Biker,Adults
1973,Olde Springfield Recruiter,Adults
1974,Oldest Surviving NFL Player,Adults
1975,Rob Oliver,Adults
1976,Carolyn Omine,Adults
1977,Jack Ong,Adults
1978,Onward Christian Schoolboys Academy teacher,Adults
1979,Ooda,Adults
1980,Opal,Adults
1981,Opening sequence co-worker,Adults
1982,Ophelia Charles,Adults
1983,Optometrist,Adults
1984,Frank Ormand,Adults
1985,Orville and Hurley,Adults
1986,Orville Redenbacher,Adults
1987,Osama,Adults
1988,Oscar the Grouch,Adults
1989,Otis,Adults
1990,Otm Shank,Adults
1991,Otolaryngologist,Adults
1992,Otto's Landlord,Adults
1993,Owl Haven Ranger,Adults
1994,Painter,Adults
1995,Panicky Man,Adults
1996,Paramedic 1,Adults
1997,Paramedic 2,Adults
1998,Parcel Processor,Adults
1999,Park Ranger,Adults
2000,Parking Lot Guard,Adults
2001,Parliament Guard 1,Adults
2002,Parliament Guard 2,Adults
2003,Parole Board Member 1,Adults
2004,Parole Board Member 2,Adults
2005,Parole Judge,Adults
2006,Dolly Parton,Adults
2007,Pastry Chef,Adults
2008,Patricia,Adults
2009,Patrolman 1,Adults
2010,Patrolman 2,Adults
2011,Ray Patterson,Adults
2012,Patton Oswalt,Adults
2013,Paul Lynde,Adults
2014,Paul McGuinness,Adults
2015,Paul Newman (character),Adults
2016,Paula Paul,Adults
2017,Pauline Pfeiffer,Adults
2018,Don Payne,Adults
2019,Peanut Factory owner,Adults
2020,Pedestrian,Adults
2021,Pedro Chespirito,Adults
2022,The Penalizer,Adults
2023,Penelope Owsley,Adults
2024,Penn and Teller,Adults
2025,Penn Jillette (character),Adults
2026,Lois Pennycandy,Adults
2027,Mrs. Pennywinkle,Adults
2028,Persuasive Man,Adults
2029,Handsome Pete,Adults
2030,Bobby Peterson,Adults
2031,Bambi Petitbois,Adults
2032,Petrovichnyamilenkossarian,Adults
2033,Peyton Manning,Adults
2034,Rayshelle Peyton,Adults
2035,Pharaoh's Officer,Adults
2036,Pharrell Williams,Adults
2037,Pharrell Williams (character),Adults
2038,Phil (alien),Adults
2039,Phil (cameraman),Adults
2040,Phil (Duff inspector),Adults
2041,Phil's Aide,Adults
2042,Sideshow Phil,Adults
2043,Philadelphia Football Player,Adults
2044,Regis Philbin,Adults
2045,Philip,Adults
2046,Philip J. Fry,Adults
2047,Phillips,Adults
2048,Ms. Phipps,Adults
2049,Phish,Adults
2050,Phlegm man,Adults
2051,Photographer,Adults
2052,Photographer 1,Adults
2053,Photographer 2,Adults
2054,Photographer 3,Adults
2055,Picture Perfect Salesman,Adults
2056,Arnie Pye,Adults
2057,Pierre Bouvier,Adults
2058,Bonita Pietila,Adults
2059,Pig Man Wiggum,Adults
2060,Pimp (The City of New York vs. Homer Simpson),Adults
2061,Pin Pals,Adults
2062,Pinhead (Hellraiser),Adults
2063,Debbie Pinson,Adults
2064,Plaid Piper,Adults
2065,Plato,Adults
2066,Player 1,Adults
2067,Player 2,Adults
2068,George Plimpton,Adults
2069,Plow King Customer,Adults
2070,Podiatrist,Adults
2071,Poetry instructor,Adults
2072,Poison Lenny,Adults
2073,Police Catcher,Adults
2074,Police Cops Writer 1,Adults
2075,Police Cops Writer 2,Adults
2076,Police Cops Writer 3,Adults
2077,Police Cops Writer 4,Adults
2078,Police Cops Writer 5,Adults
2079,Police Cops Writer 6,Adults
2080,Police Cops Writer 7,Adults
2081,Police Officer (And Maggie Makes Three),Adults
2082,Police Officer (Homer Alone),Adults
2083,Police Officer (Marge in Chains),Adults
2084,Police Officer (The Crepes of Wrath),Adults
2085,Police Photographer,Adults
2086,Police Pitcher,Adults
2087,Brunella Pommelhorst,Adults
2088,Mimi Pond,Adults
2089,Pontius Pilate,Adults
2090,Poodle Lady,Adults
2091,Pool Shark Salesman,Adults
2092,Poor Woman,Adults
2093,Popcorn Mascot,Adults
2094,Pope John Paul II,Adults
2095,Pope's advisor,Adults
2096,Porter Simpson,Adults
2097,Portia,Adults
2098,Parker Posey,Adults
2099,Post Office Clerk,Adults
2100,Post Office Guard 1,Adults
2101,Post Office Guard 2,Adults
2102,Postal Worker 1,Adults
2103,Postal Worker 2,Adults
2104,Postal Worker 3,Adults
2105,Postmaster Bill,Adults
2106,Tom Poston,Adults
2107,Herbert Powell,Adults
2108,Power Plant Employee (Life on the Fast Lane),Adults
2109,Power Plant Employee (Simpson and Delilah),Adults
2110,Precious Baby Discount Stores representative,Adults
2111,President Lisa,Adults
2112,Michael Price,Adults
2113,Priest,Adults
2114,Prime Minister of the UK,Adults
2115,Primo,Adults
2116,Prince Harry,Adults
2117,Gloria Prince,Adults
2118,Gareth Prince,Adults
2119,Princess Agoomba,Adults
2120,Princess Palomita of Prussia,Adults
2121,Principal Sackett,Adults
2122,Principal Shepherd,Adults
2123,Principal Weinberg,Adults
2124,Prison Guard,Adults
2125,Prison librarian,Adults
2126,Prisoner 2F21,Adults
2127,Prisoner 3230,Adults
2128,Proctor Perkins,Adults
2129,Professor,Adults
2130,Professor Huntington,Adults
2131,Professor Skizzletwitch,Adults
2132,Max Pross,Adults
2133,Prudence,Adults
2134,J. Loren Pryor,Adults
2135,Psychic,Adults
2136,Wolfgang Puck (character),Adults
2137,Pumpkin-headed man,Adults
2138,Punchbowl Student,Adults
2139,Corporal Punishment,Adults
2140,Pyro,Adults
2141,Qtoktok,Adults
2142,Queen Booty Shaker,Adults
2143,Questo,Adults
2144,Qui-Gon Jinn,Adults
2145,Quilloughby,Adults
2146,Freddy Quimby,Adults
2147,Joe Quimby,Adults
2148,Martha Quimby,Adults
2149,Captain Quisp,Adults
2150,Rachel (The Cool Moms),Adults
2151,Rachel Maddow (character),Adults
2152,Radioactive Man (character),Adults
2153,Radioactive Man Director,Adults
2154,Radioactive Man Editor,Adults
2155,Radioactive Man Producer,Adults
2156,Radioactive Man Setup Artist,Adults
2157,Ralph (Dead Putting Society),Adults
2158,Ralph Gables,Adults
2159,Ralph Nader,Adults
2160,Ralph's Clones,Adults
2161,The Rambler,Adults
2162,The Ramones (characters),Adults
2163,Ramrod,Adults
2164,Randy (tour guide),Adults
2165,Randy Jackson,Adults
2166,Randy Johnson,Adults
2167,Rangemaster,Adults
2168,Ranger McFadden,Adults
2169,Raoul,Adults
2170,Raphael,Adults
2171,Rapunzel,Adults
2172,Rashida Jones,Adults
2173,Rasputin the Friendly Russian,Adults
2174,Rauberta,Adults
2175,Ravi Shankar,Adults
2176,The Raving Derelict,Adults
2177,Ray-Ray Takamura,Adults
2178,Richard Raynis,Adults
2179,Realtor (Lisa's First Word),Adults
2180,Realtor (New Kid on the Block),Adults
2181,Realtor (The Old Man and the Lisa),Adults
2182,Grim Reaper,Adults
2183,Jim Reardon,Adults
2184,Rebecca Charles,Adults
2185,Receptionist,Adults
2186,Recording Technician,Adults
2187,Red Headed Employee,Adults
2188,Red-haired kid,Adults
2189,Sasha Reed,Adults
2190,Reenactor 1,Adults
2191,Reenactor 2,Adults
2192,Reenactor 3,Adults
2193,Reenactor 4,Adults
2194,Reenactor 5,Adults
2195,Reenactor 6,Adults
2196,Reenactor 7,Adults
2197,Reenactor 8,Adults
2198,Ref,Adults
2199,Referee (Bart Star),Adults
2200,Referee (Homer Loves Flanders),Adults
2201,Referee (Lisa on Ice),Adults
2202,Referee (The Homer They Fall),Adults
2203,Reformed Dad,Adults
2204,Regional Director of the IRS,Adults
2205,Mike Reiss,Adults
2206,Remedial Class Teacher,Adults
2207,Remus Krupp,Adults
2208,Rendering Plant Employee 1,Adults
2209,Rendering Plant Employee 2,Adults
2210,Renee,Adults
2211,René Bouvier,Adults
2212,Repair man,Adults
2213,Repo Depot clerk,Adults
2214,Repo Man 1 (Make Room for Lisa),Adults
2215,Repo Man 1 (The Canine Mutiny),Adults
2216,Repo Man 2 (Make Room for Lisa),Adults
2217,Repo Man 2 (The Canine Mutiny),Adults
2218,Reporter ('Round Springfield),Adults
2219,Reporter (Homer Loves Flanders),Adults
2220,Reporter (Radio Bart),Adults
2221,Reporter 1,Adults
2222,Reporter 1 (Marge vs. the Monorail),Adults
2223,Reporter 2,Adults
2224,Reporter 2 (Marge vs. the Monorail),Adults
2225,Reporter 3,Adults
2226,Retirement Castle administrator,Adults
2227,Retirement Castle administrator (Bart the General),Adults
2228,Retirement Castle Nurse,Adults
2229,Rev. Lovejoy's Aide,Adults
2230,Reverend Brogan,Adults
2231,Rex Banner,Adults
2232,Rhea Perlman,Adults
2233,Ricardo Bomba,Adults
2234,Richard Texan,Adults
2235,Richard Dawkins (character),Adults
2236,Richard Dean Anderson (character),Adults
2237,Richard Gere,Adults
2238,Richard Gere (character),Adults
2239,Richard Lewis,Adults
2240,Richard's Grandfather,Adults
2241,Stark Richdale,Adults
2242,Lionel Richie,Adults
2243,Lionel Richie (character),Adults
2244,Dirk Richter,Adults
2245,Rick Sanchez,Adults
2246,Ricky Jay (character),Adults
2247,Luigi Risotto,Adults
2248,Nick Riviera,Adults
2249,Robber (Homer and Apu),Adults
2250,Robert Evans,Adults
2251,Robert Evans (character),Adults
2252,Robert Frost,Adults
2253,Robert Marlow,Adults
2254,Robert McKee (character),Adults
2255,Robert Opel,Adults
2256,Robert Pinsky,Adults
2257,Robert Pinsky (character),Adults
2258,Roberta,Adults
2259,Brian K. Roberts,Adults
2260,Robot Controller,Adults
2261,Robot Librarian,Adults
2262,Robusto,Adults
2263,Robyn Hannah,Adults
2264,Rod Runtledge,Adults
2265,Rodrigo,Adults
2266,Roger,Adults
2267,Roger (Candace's father),Adults
2268,Roger Clemens (character),Adults
2269,Roger Ebert (character),Adults
2270,Roman Bernard Vanderfeller,Adults
2271,Ron,Adults
2272,Ronaldo (character),Adults
2273,Cristiano Ronaldo,Adults
2274,Linda Ronstadt,Adults
2275,Linda Ronstadt (character),Adults
2276,Roofi,Adults
2277,Rosarita,Adults
2278,Roscoe,Adults
2279,Rosemary Chalmers,Adults
2280,Rosey Grier,Adults
2281,Rowan Priddis,Adults
2282,J. K. Rowling (character),Adults
2283,Roxie,Adults
2284,Roy Firestone,Adults
2285,Royce McCutcheon,Adults
2286,Jerry Rude,Adults
2287,Rudy (Colonel Homer),Adults
2288,Russian Representative,Adults
2289,Rusty Barnacle Waiter,Adults
2290,Rusty The Clown,Adults
2291,Ruth Powers,Adults
2292,Babe Ruth IV,Adults
2293,Ryan Seacrest,Adults
2294,Winona Ryder,Adults
2295,David Sacks,Adults
2296,Sailor,Adults
2297,Saint Eleutherius of Nicomedia,Adults
2298,Richard Sakai,Adults
2299,Richie Sakai,Adults
2300,Mr. Sakamoto,Adults
2301,Sakatumi,Adults
2302,Saloon Bartender,Adults
2303,Sam (barfly),Adults
2304,Sam (Postcards from the Wedge),Adults
2305,Sam (senior),Adults
2306,Marj Sampson,Adults
2307,Samuel Morse,Adults
2308,Samuel T. Duff,Adults
2309,Sancho Hernandez,Adults
2310,Sandra Bullock,Adults
2311,Sandwich Delivery Guy,Adults
2312,Sandy,Adults
2313,Sapphire Lounge Guy,Adults
2314,Sarah Silverman (character),Adults
2315,Susan Sarandon,Adults
2316,Sardonicus,Adults
2317,Sasha,Adults
2318,Sauna User 1 (couch gag),Adults
2319,Sauna User 2 (couch gag),Adults
2320,Sauna User 3 (couch gag),Adults
2321,Saxophonist,Adults
2322,Gunter,Adults
2323,School Photographer,Adults
2324,Arnold Schwarzenegger,Adults
2325,Mike Scioscia,Adults
2326,Mike Scioscia (character),Adults
2327,Scoey (Music Conductor),Adults
2328,Hank Scorpio,Adults
2329,Scott Bakula,Adults
2330,Scott Weingarten,Adults
2331,Swinton O. Scott III,Adults
2332,Scottish Rioter,Adults
2333,The Scoutmaster,Adults
2334,Scratchy mascot,Adults
2335,Screamatorium Worker,Adults
2336,Screaming Woman,Adults
2337,Script Coach,Adults
2338,Dana Scully,Adults
2339,Sebastian Cobb,Adults
2340,Security Guard 1 (Homerpalooza),Adults
2341,Security Guard 1 (Lisa the Greek),Adults
2342,Security Guard 2 (Homerpalooza),Adults
2343,Security Guard 2 (Lisa the Greek),Adults
2344,Seething Sisters chef,Adults
2345,Seething Sisters owner,Adults
2346,Seething Sisters waitress,Adults
2347,Selma's Exes,Adults
2348,Matt Selman,Adults
2349,Senior Dance Instructor,Adults
2351,Sepulveda,Adults
2352,Sergeant Crew,Adults
2353,Serious Homer,Adults
2354,Seth,Adults
2355,Seth Rogen,Adults
2356,Sexy Assistant,Adults
2357,Señor Fritatta,Adults
2358,Señora Bumblebee Man,Adults
2359,Joey Jo-Jo Junior Shabadoo,Adults
2360,Shadow Knight,Adults
2361,William Shakespeare,Adults
2362,Shaky Premise,Adults
2363,Shasta,Adults
2364,Shavings owner,Adults
2365,Chuck Sheetz,Adults
2366,Sheila Chow,Adults
2367,Shelby's Father,Adults
2368,Shelbyville Abe,Adults
2369,Sheriff,Adults
2370,Jay Sherman,Adults
2371,Sherpas,Adults
2372,B.F. Sherwood,Adults
2373,Shirley Gunderson,Adults
2374,Shirt Vendor (The Homer They Fall),Adults
2375,Shocked Woman,Adults
2376,Shortcake Chef,Adults
2377,Shoshanna,Adults
2378,Shotgun Pete,Adults
2379,Shrieking Sheik,Adults
2380,Dave Shutton,Adults
2381,Sick Japanese Worker,Adults
2382,Sideshow Cassandra,Adults
2383,Sideshow Raheem,Adults
2384,Sigur Rós (characters),Adults
2385,Sigrín Siguðardóttir,Adults
2386,Long John Silver,Adults
2387,Al Simmons,Adults
2388,Mindy Simmons,Adults
2389,Simon (cameraman),Adults
2390,Simon Cowell (character),Adults
2391,Abbey,Adults
2392,Abigail Simpson,Adults
2393,Amber Simpson,Adults
2394,Bill Simpson,Adults
2395,Great-Uncle Boris,Adults
2396,Chet Simpson,Adults
2397,Claretta Simpson,Adults
2398,Cyrus Simpson,Adults
2399,Dr. Simpson,Adults
2400,Eliza Simpson,Adults
2401,Cousin Francine,Adults
2402,Hiram Simpson,Adults
2403,Homer Simpson (Police Cops),Adults
2404,Aunt Hortense,Adults
2405,Howland Simpson,Adults
2406,Mabel Simpson,Adults
2407,Marge Simpson,Adults
2408,Marnie Simpson,Adults
2409,Mona Simpson,Adults
2410,"""Old Tut"" Simpson",Adults
2411,Omar Simpson,Adults
2412,Orville Simpson,Adults
2413,Stanley Simpson,Adults
2414,Sven Simpson,Adults
2415,Twitta Simpson,Adults
2416,Tyrone Simpson,Adults
2417,Valerie Togasaki-Rothman,Adults
2418,Vern Simpson,Adults
2419,Virgil Simpson,Adults
2420,Frank Sinatra,Adults
2421,Llewellyn Sinclair,Adults
2422,Ms. Sinclair,Adults
2423,The Singing Hobo,Adults
2424,Sir Nederick Flanders,Adults
2425,Sirens,Adults
2426,Sirloin Staff,Adults
2427,Sister Marilyn,Adults
2428,Sister Thomasina,Adults
2429,Sit 'n' Weep psychologist,Adults
2430,Site Manager,Adults
2431,Seymour Skinner,Adults
2432,Seymour Skinner (real),Adults
2433,Sheldon Skinner,Adults
2434,Skipper,Adults
2435,Skull and Crossbones Man,Adults
2436,Wayne Slater,Adults
2437,Slava,Adults
2438,Slave-Driver Willie,Adults
2439,Sleazy Sam,Adults
2440,Sara Sloane,Adults
2441,Alan Smart,Adults
2442,L.T. Smash,Adults
2443,Stan Smith,Adults
2444,Smithers's future girlfriend,Adults
2445,"Waylon Smithers, Jr.",Adults
2446,"Waylon Smithers, Sr.",Adults
2447,Smithsonian Guard 1,Adults
2448,Smithsonian Guard 2,Adults
2449,Smothers Brothers,Adults
2450,Snack Delivery Man,Adults
2451,Snow Mom,Adults
2452,SNPP Clerk,Adults
2453,SNPP Guard,Adults
2454,Roy Snyder,Adults
2455,Socialite,Adults
2456,Big Solar (character),Adults
2457,Soldier,Adults
2458,Soldier 1,Adults
2459,Soldier 2,Adults
2460,Kenkichi Sonogashira,Adults
2461,Ralph Sosa,Adults
2462,The Southern Colonel,Adults
2463,Southern Sheriff,Adults
2464,Space Mutant Male Victim,Adults
2465,Tab Spangler,Adults
2466,Sparkle,Adults
2467,Britney Spears (character),Adults
2468,Speed-E-Mart owner,Adults
2469,Sperm Bank Clerk,Adults
2470,Sperm Bank Employee,Adults
2471,Spider-Man,Adults
2472,Art Spiegelman,Adults
2473,Señor Spielbergo,Adults
2474,Spike Lee,Adults
2475,Spinal Tap Effects Artist,Adults
2476,Spinal Tap Stagehand,Adults
2477,Sportacus clerk,Adults
2478,Sportscaster 1,Adults
2479,Sportscaster 2,Adults
2480,Sportscaster 3,Adults
2481,Spray Booth Man,Adults
2482,Springfield Billy,Adults
2483,Springfield Downs Dad,Adults
2484,Springfield General Hospital Nurse (future),Adults
2485,Springfield Mall Janitor,Adults
2486,Springfield Nuclear Power Plant Employee,Adults
2487,Springfield Nuclear Power Plant employee,Adults
2488,Springfield Nuclear Power Plant Security Guard,Adults
2489,Springfield Pet Shop owner,Adults
2490,Springfield Police Framers,Adults
2491,Springfield School District Teacher,Adults
2492,Springfield Squares Veteran,Adults
2493,Springfield Station Man,Adults
2494,Springfield University Board Member,Adults
2495,Jebediah Springfield,Adults
2496,Miss Springfield,Adults
2497,Obadiah Springfield,Adults
2498,Springsonian Guard,Adults
2499,The Sprint,Adults
2500,Spruce Caboose host,Adults
2501,Brandine Spuckler,Adults
2502,Cletus Spuckler,Adults
2503,Maw Spuckler,Adults
2504,Marie St. Jacques,Adults
2505,Stacy Lovell,Adults
2506,Stan (Car Salesman),Adults
2507,Stan Kadlubowski,Adults
2508,Mr. Stankey,Adults
2509,Stanlerina,Adults
2510,Stanley,Adults
2511,Stanley Roper,Adults
2512,Dark Stanley,Adults
2513,Mr. Starbeam,Adults
2514,Starla Starbeam,Adults
2515,Sir Ringo Starr,Adults
2516,Sir Ringo Starr (character),Adults
2517,State Department Agent 1,Adults
2518,State Department Agent 2,Adults
2519,Stavros,Adults
2520,Steel Mill Workers,Adults
2521,Steel Mover,Adults
2522,Trent Steele,Adults
2523,Steer slaughterer,Adults
2524,Eric Stefani,Adults
2525,Rod Steiger,Adults
2526,Mrs. Stemple,Adults
2527,Stephen Jay Gould (character),Adults
2528,Stephen King (character),Adults
2529,Stephen Sondheim,Adults
2530,David M. Stern,Adults
2531,Steve (USAF),Adults
2532,Steve Ballmer,Adults
2533,Steve Grabowski,Adults
2534,Steve Martin,Adults
2535,Steven Weber,Adults
2536,The Stickler,Adults
2537,Sticky-Fingers Stella,Adults
2538,Stig,Adults
2539,Sting,Adults
2540,Sting (character),Adults
2541,Stogie,Adults
2542,Stonecutter's Painter,Adults
2543,Strawberry,Adults
2544,Street Performer,Adults
2545,Stringfellow Szyslak,Adults
2546,Strom Thurmond,Adults
2547,Stu Discothèque,Adults
2548,Stuart,Adults
2549,Stuart (All's Fair in Oven War),Adults
2550,Subliminal Tape Packer,Adults
2551,Subliminal Tape Receptionist,Adults
2552,Sugar Thief,Adults
2553,Switchyard Sullivan,Adults
2554,Super Bowl Announcer,Adults
2555,The Super-Intendent,Adults
2556,Supporting Man,Adults
2557,Surgery instructor,Adults
2558,Surly Duff,Adults
2559,Surly Joe,Adults
2560,Susan (socialite),Adults
2561,Susie Smith,Adults
2562,Suspicious Customer 3,Adults
2563,Suzanne,Adults
2564,Suzanne Somers,Adults
2565,Suzanne Somers (character),Adults
2566,Suze Orman (character),Adults
2567,Suzie's Dad,Adults
2568,Sven,Adults
2569,Svetlana,Adults
2570,SWAT Agent,Adults
2571,SWAT Leader,Adults
2572,Swedish Boxer,Adults
2573,Swedish traffic officer,Adults
2574,Lucius Sweet,Adults
2575,Syd Charles,Adults
2576,Gandamac Szyslak,Adults
2577,Marv Szyslak,Adults
2578,Minnie Szyslak,Adults
2579,Moe Szyslak,Adults
2580,T.G.I. McScratchy's Waiter 2,Adults
2581,Tailhook Scandal Admiral,Adults
2582,Talk Show Guest,Adults
2583,Talk Show Host,Adults
2584,Talk Show Host 1,Adults
2585,Talk Show Host 2,Adults
2586,Tammy,Adults
2587,Jack Tate,Adults
2588,Drederick Tatum,Adults
2589,Tauren Mel,Adults
2590,Taxi Driver,Adults
2591,James Taylor,Adults
2592,James Taylor (character),Adults
2593,Mr. Taylor,Adults
2594,Stan Taylor,Adults
2595,Teacher (Kamp Krusty),Adults
2596,Teamsters,Adults
2597,Ted Danson,Adults
2598,Teddy Bisque,Adults
2599,Telephone Operator,Adults
2600,Teller (character),Adults
2601,Captain Tenille,Adults
2602,Terrence,Adults
2603,Terry Cashman,Adults
2604,Terry Gross,Adults
2605,Cecil Terwilliger,Adults
2606,Robert Terwilliger,Adults
2607,Test Administrator,Adults
2608,Testing Center employee,Adults
2609,Paris Texan,Adults
2610,Thad,Adults
2611,Mr. Thai,Adults
2612,The Abominable Dr. Lenny,Adults
2613,The Beatles,Adults
2614,The Calabresi goons,Adults
2615,The Chocobots' leader,Adults
2616,The City Inspector,Adults
2617,The Cobra,Adults
2618,The Collider,Adults
2619,The Commandant,Adults
2620,The Commanding Officer,Adults
2621,The Detonator,Adults
2622,The DMV Kings,Adults
2623,The Flying Giuseppe,Adults
2624,The Fracker,Adults
2625,The Genie,Adults
2626,The Great Raymondo,Adults
2627,The Holy Rollers,Adults
2628,The Iron Yuppie,Adults
2629,The Moe imposter,Adults
2630,The Parson,Adults
2631,The Penguin,Adults
2632,The Rappin' Rabbis,Adults
2633,Barry the Satellite TV Guy,Adults
2634,The Stereotypes,Adults
2635,The Stooped-Over Fiddler,Adults
2636,The Thing,Adults
2637,Thomas Edison,Adults
2638,Thomas Pynchon (character),Adults
2639,Thorbjørn,Adults
2640,Caleb Thorn,Adults
2641,Tiago,Adults
2642,Ticket Bouncer,Adults
2643,Ticket Buyer,Adults
2644,Ticket Checker,Adults
2645,Ticket Clerk,Adults
2646,Ticket Seller,Adults
2647,Lawrence Tierney,Adults
2648,Tim Conway,Adults
2649,Timothy Bailey,Adults
2650,Gaylord Q. Tinkledink,Adults
2651,Tintin,Adults
2652,Titania,Adults
2653,Tito,Adults
2654,Rashida Tlaib,Adults
2655,Toadstool Jockey,Adults
2656,Toby Hunter,Adults
2657,Tom,Adults
2658,Tom Arnold (character),Adults
2659,Tom Clancy (character),Adults
2660,Tom Jones,Adults
2661,Tom Kite,Adults
2662,Tom Kite (character),Adults
2663,Tom Petty (character),Adults
2664,Tom Savini (character),Adults
2665,Tom Tucker,Adults
2666,Tony Randall,Adults
2667,Tooth Chipper Operator,Adults
2668,Torpedo Admiral,Adults
2669,Carla Tortelli,Adults
2670,Toshiro,Adults
2671,Tour Guide,Adults
2672,Tourist,Adults
2673,Town Jubilation Committee,Adults
2674,Tracy,Adults
2675,Train Driver (couch gag),Adults
2676,Garth Trelawny,Adults
2677,Trapped Man,Adults
2678,Alex Trebek (character),Adults
2679,Tribal Chief,Adults
2680,Troll,Adults
2681,Tropical Island Waiter,Adults
2682,Troubled Dad,Adults
2683,Troy Aikman,Adults
2684,Trucker 1,Adults
2685,Trucker 2,Adults
2686,Trucker 3,Adults
2687,Trucker 4,Adults
2688,Trucker 5,Adults
2689,Trucker 6,Adults
2690,Trudy Zangler,Adults
2691,Try-N-Save Clerk,Adults
2692,Turanga Leela,Adults
2693,Tweedledee and Tweedledum,Adults
2694,Twirl King Manager,Adults
2695,Two-Headed Dragon,Adults
2696,U2,Adults
2697,"Udell ""Spunky"" Dinsdale",Adults
2698,Ugolin,Adults
2699,Unamed emcee,Adults
2700,Uncle Eldred,Adults
2701,Judith Terwilliger,Adults
2702,Unicorn Wizard,Adults
2703,Unidentified Rabbi,Adults
2704,Unimpressed Spectator,Adults
2705,Uninterested Passerby,Adults
2706,Unnamed female bodybuilder (black hair),Adults
2707,Unnamed female bodybuilder (number eight),Adults
2708,Unnamed Governor,Adults
2709,Unnamed Latino Man,Adults
2710,Unnamed Lunchlady,Adults
2711,Unnamed parent,Adults
2712,Unnamed smoking man,Adults
2713,Unnamed social worker,Adults
2714,Unnamed Teacher,Adults
2715,Unnamed teacher with red glasses,Adults
2716,Melanie Upfoot,Adults
2717,Upward Bound director,Adults
2718,Usenet Spy,Adults
2719,Principal Valiant,Adults
2720,Vampiredna,Adults
2721,Van Brunt & Churchill Owner,Adults
2722,Sinjin Van Hookstrap,Adults
2723,Norman Van Horne,Adults
2724,Van Houten Relative,Adults
2725,Bastardo Mussolini,Adults
2726,Kirk Van Houten,Adults
2727,Norbert Van Houten,Adults
2728,Van Zuylen,Adults
2729,Vance Connor,Adults
2730,Mr. Vanderbilt,Adults
2731,Mrs. Vanderbilt,Adults
2732,Nikki Vanzo,Adults
2733,Vast Waistband Owner,Adults
2734,Zachary Vaughn,Adults
2735,Dr. Velimirovic,Adults
2736,Velma,Adults
2737,Veterinarian,Adults
2738,Veterinarian's Nurse,Adults
2739,Vicki Valentine,Adults
2740,Victor,Adults
2741,Victor Kleskow,Adults
2742,Fernando Vidal,Adults
2743,Gore Vidal (character),Adults
2744,Viktor,Adults
2745,Viktor's wife,Adults
2746,Adriatica Vel Johnson,Adults
2747,Village Idiot,Adults
2748,Miss Viola,Adults
2749,Violinist,Adults
2750,Virgil Sinclair,Adults
2751,Tabitha Vixx,Adults
2752,Vladimir Lenin,Adults
2753,Vladimir Putin,Adults
2754,Volcano Parent,Adults
2755,Volleyball Coach,Adults
2756,Professor Werner von Brawn,Adults
2757,Baron Von Kiss-A-Lot,Adults
2758,Von Krusten,Adults
2759,Wade,Adults
2760,Robert Wagner,Adults
2761,Waiter,Adults
2762,Waiter (The Gilded Truffle),Adults
2763,Waiter (Uncle Moe's),Adults
2764,Waiter 1,Adults
2765,Waitress (Mr. Burns' Casino),Adults
2766,Waitress (Selma's Choice),Adults
2767,Wallet Thief,Adults
2768,Wally Cox,Adults
2769,Walter White,Adults
2770,Matt Warburton,Adults
2771,Ward,Adults
2772,Avril Ward,Adults
2773,The Warden,Adults
2774,The Warden (The Frying Game),Adults
2775,Warren (Bart's Comet),Adults
2776,Walt Warren,Adults
2777,Warrior Comic Book Guy,Adults
2778,Warrior Marge,Adults
2779,Washington Representative,Adults
2780,George Washington,Adults
2781,Watson,Adults
2782,Waverly Hills Elementary School groundskeeper,Adults
2783,Waverly Hills Elementary School teacher,Adults
2784,Wax Lips Salesman,Adults
2785,Wayne Slater's boss,Adults
2786,Wedge Antilles,Adults
